word	segments	num_segments	sentence
vanhimmillaankin	vanhimm-i-lla-an-kin	5	Vanhimmillaankin hän on yhä täynnä energiaa ja elämäniloa.
voisivatkohan	voi-siva-t-ko-han	5	Voisivatkohan he tulla meille illalliselle?
voitaisiinkohan	voi-ta-isiin-ko-han	5	Voitaisiinkohan mennä elokuviin tänä iltana?
voivatkohan	voi-va-t-ko-han	5	Voivatkohan he tulla juhliin myöhässä?
halvimmillaankin	halv-imm-i-lla-an-kin	6	Tämä tuote on halvimmillaankin liian kallis minulle.
kovimmillaankin	kov-imm-i-lla-an-kin	6	Kovimmillaankin talvella, hän käy ulkona joka päivä.
heikoimmillaankin	heiko-imm-i-lla-an-kin	6	Heikoimmillaankin olemme vahvempia kuin yksikään muu joukkue.
hinnakkaimmillaankin	hinnakka-imm-i-lla-an-kin	6	Vaikka tuote on hinnakkaimmillaankin laadukas, en ole varma, onko se sen arvoinen.
hitaimmillaankin	hita-imm-i-lla-an-kin	6	Hitaimmillaankin hän ymmärsi, mistä oli kyse.
huonoimmillaankin	huono-imm-i-lla-an-kin	6	Huonoimmillaankin se on parempi vaihtoehto kuin monet muut.
kalleimmillaankin	kalle-imm-i-lla-an-kin	6	Kalleimmillaankin tämä auto on edullisempi kuin muut markkinoilla olevat mallit.
kehnoimmillaankin	kehno-imm-i-lla-an-kin	6	Kehnoimmillaankin hän on parempi kuin monet muut.
matalimmillaankin	matal-imm-i-lla-an-kin	6	Matalimmillaankin pudotusta on yli 100 metriä.
nopeimmillaankin	nope-imm-i-lla-an-kin	6	Nopeimmillaankin hän tarvitsee vähintään tunnin valmistautumiseen.
raskaimmillaankin	raska-imm-i-lla-an-kin	6	Raskaimmillaankin työ oli silti aina mukavaa ja mielekästä.
rohkeimmillaankin	rohke-imm-i-lla-an-kin	6	Rohkeimmillaankin hän epäröi ennen kuin astui sisään pimeään luolaan.
rumpusooloillaankin	rumpu-soolo-i-lla-an-kin	6	Ehdokas vakuutti äänestäjät mielipiteittensä lisäksi rumpusooloillaankin.
suurimmillaankin	suur-imm-i-lla-an-kin	6	Vaikka olemme suurimmillaankin vain pieni osa maailmaa, voimme toimia kokoamme suurempana.
